2018-02-20 12:29:51,026 |main                 |ContainerBase                 |F| Add child StandardHost[localhost] StandardEngine[Catalina]
2018-02-20 12:29:51,028 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [INITIALIZING]
2018-02-20 12:29:51,168 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [INITIALIZING]
2018-02-20 12:29:51,171 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [INITIALIZED]
2018-02-20 12:29:51,221 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [INITIALIZING]
2018-02-20 12:29:51,225 |main                 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [INITIALIZING]
2018-02-20 12:29:51,229 |main                 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [INITIALIZED]
2018-02-20 12:29:51,229 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.mapper.MapperListener@95e33cc] to [INITIALIZING]
2018-02-20 12:29:51,230 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.mapper.MapperListener@95e33cc] to [INITIALIZED]
2018-02-20 12:29:51,230 |main                 |LifecycleBase                 |F| Setting state for [Connector[HTTP/1.1-8080]] to [INITIALIZING]
2018-02-20 12:29:51,296 |main                 |LifecycleBase                 |F| Setting state for [Connector[HTTP/1.1-8080]] to [INITIALIZED]
2018-02-20 12:29:51,296 |main                 |LifecycleBase                 |F| Setting state for [Connector[AJP/1.3-8009]] to [INITIALIZING]
2018-02-20 12:29:51,299 |main                 |LifecycleBase                 |F| Setting state for [Connector[AJP/1.3-8009]] to [INITIALIZED]
2018-02-20 12:29:51,299 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [INITIALIZED]
2018-02-20 12:29:51,299 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [INITIALIZED]
2018-02-20 12:29:51,299 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STARTING_PREP]
2018-02-20 12:29:51,309 |main                 |NamingContextListener         |F| Bound StandardServer[8005]
