2018-03-05 08:55:10,805 |main                 |ContainerBase                 |F| Add child StandardHost[localhost] StandardEngine[Catalina]
2018-03-05 08:55:10,807 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [INITIALIZING]
2018-03-05 08:55:10,947 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [INITIALIZING]
2018-03-05 08:55:10,950 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [INITIALIZED]
2018-03-05 08:55:10,989 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [INITIALIZING]
2018-03-05 08:55:10,991 |main                 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [INITIALIZING]
2018-03-05 08:55:10,996 |main                 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [INITIALIZED]
2018-03-05 08:55:10,996 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.mapper.MapperListener@95e33cc] to [INITIALIZING]
2018-03-05 08:55:10,998 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.mapper.MapperListener@95e33cc] to [INITIALIZED]
2018-03-05 08:55:10,998 |main                 |LifecycleBase                 |F| Setting state for [Connector[HTTP/1.1-8080]] to [INITIALIZING]
2018-03-05 08:55:11,060 |main                 |LifecycleBase                 |F| Setting state for [Connector[HTTP/1.1-8080]] to [INITIALIZED]
2018-03-05 08:55:11,060 |main                 |LifecycleBase                 |F| Setting state for [Connector[AJP/1.3-8009]] to [INITIALIZING]
2018-03-05 08:55:11,063 |main                 |LifecycleBase                 |F| Setting state for [Connector[AJP/1.3-8009]] to [INITIALIZED]
2018-03-05 08:55:11,063 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [INITIALIZED]
2018-03-05 08:55:11,063 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [INITIALIZED]
2018-03-05 08:55:11,064 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STARTING_PREP]
2018-03-05 08:55:11,072 |main                 |NamingContextListener         |F| Bound StandardServer[8005]
2018-03-05 08:55:11,080 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STARTING]
2018-03-05 08:55:11,105 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [STARTING_PREP]
2018-03-05 08:55:11,105 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [STARTING]
2018-03-05 08:55:11,105 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [STARTED]
2018-03-05 08:55:11,105 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [STARTING_PREP]
2018-03-05 08:55:11,106 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [STARTING]
2018-03-05 08:55:11,106 |main                 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [STARTING_PREP]
2018-03-05 08:55:11,107 |main                 |LifecycleBase                 |F| Setting state for [Realm[LockOutRealm]] to [INITIALIZING]
2018-03-05 08:55:11,107 |main                 |LifecycleBase                 |F| Setting state for [Realm[LockOutRealm]] to [INITIALIZED]
2018-03-05 08:55:11,108 |main                 |LifecycleBase                 |F| Setting state for [Realm[LockOutRealm]] to [STARTING_PREP]
2018-03-05 08:55:11,108 |main                 |LifecycleBase                 |F| Setting state for [Realm[UserDatabaseRealm]] to [INITIALIZING]
2018-03-05 08:55:11,108 |main                 |LifecycleBase                 |F| Setting state for [Realm[UserDatabaseRealm]] to [INITIALIZED]
