2018-01-29 00:41:59,640 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STOPPING_PREP]
2018-01-29 00:41:59,657 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STOPPING]
2018-01-29 00:41:59,663 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [STOPPING_PREP]
2018-01-29 00:41:59,932 |Thread-6             |LifecycleBase                 |F| Stopping service Catalina
2018-01-29 00:41:59,932 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [STOPPING]
2018-01-29 00:41:59,932 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [STOPPING_PREP]
2018-01-29 00:41:59,935 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [STOPPING]
2018-01-29 00:41:59,935 |Thread-6             |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina]]] to [STOPPING_PREP]
2018-01-29 00:41:59,935 |Thread-6             |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina]]] to [STOPPING]
2018-01-29 00:41:59,935 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardEngineValve[Catalina]] to [STOPPING_PREP]
2018-01-29 00:41:59,935 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardEngineValve[Catalina]] to [STOPPING]
2018-01-29 00:41:59,935 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardEngineValve[Catalina]] to [STOPPED]
2018-01-29 00:41:59,935 |Thread-6             |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina]]] to [STOPPED]
2018-01-29 00:41:59,938 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost]] to [STOPPING_PREP]
2018-01-29 00:41:59,938 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost]] to [STOPPING]
2018-01-29 00:41:59,938 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost]]] to [STOPPING_PREP]
2018-01-29 00:41:59,938 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost]]] to [STOPPING]
2018-01-29 00:41:59,938 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STOPPING_PREP]
2018-01-29 00:41:59,938 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STOPPING]
2018-01-29 00:41:59,938 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STOPPED]
2018-01-29 00:41:59,938 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [STOPPING_PREP]
2018-01-29 00:41:59,939 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [STOPPING]
2018-01-29 00:41:59,939 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [STOPPED]
