2018-03-04 10:08:13,433 |main                 |ContainerBase                 |F| Add child StandardHost[localhost] StandardEngine[Catalina]
2018-03-04 10:08:13,435 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [INITIALIZING]
2018-03-04 10:08:13,635 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [INITIALIZING]
2018-03-04 10:08:13,638 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [INITIALIZED]
2018-03-04 10:08:13,684 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [INITIALIZING]
2018-03-04 10:08:13,691 |main                 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [INITIALIZING]
2018-03-04 10:08:13,696 |main                 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [INITIALIZED]
2018-03-04 10:08:13,696 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.mapper.MapperListener@95e33cc] to [INITIALIZING]
2018-03-04 10:08:13,698 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.mapper.MapperListener@95e33cc] to [INITIALIZED]
2018-03-04 10:08:13,700 |main                 |LifecycleBase                 |F| Setting state for [Connector[HTTP/1.1-8080]] to [INITIALIZING]
2018-03-04 10:08:13,780 |main                 |LifecycleBase                 |F| Setting state for [Connector[HTTP/1.1-8080]] to [INITIALIZED]
2018-03-04 10:08:13,781 |main                 |LifecycleBase                 |F| Setting state for [Connector[AJP/1.3-8009]] to [INITIALIZING]
2018-03-04 10:08:13,784 |main                 |LifecycleBase                 |F| Setting state for [Connector[AJP/1.3-8009]] to [INITIALIZED]
2018-03-04 10:08:13,784 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [INITIALIZED]
2018-03-04 10:08:13,784 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [INITIALIZED]
2018-03-04 10:08:13,785 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STARTING_PREP]
2018-03-04 10:08:13,795 |main                 |NamingContextListener         |F| Bound StandardServer[8005]
2018-03-04 10:08:13,803 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STARTING]
2018-03-04 10:08:13,836 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [STARTING_PREP]
2018-03-04 10:08:13,836 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [STARTING]
2018-03-04 10:08:13,836 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [STARTED]
2018-03-04 10:08:13,836 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [STARTING_PREP]
2018-03-04 10:08:13,838 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [STARTING]
2018-03-04 10:08:13,838 |main                 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [STARTING_PREP]
2018-03-04 10:08:13,840 |main                 |LifecycleBase                 |F| Setting state for [Realm[LockOutRealm]] to [INITIALIZING]
2018-03-04 10:08:13,842 |main                 |LifecycleBase                 |F| Setting state for [Realm[LockOutRealm]] to [INITIALIZED]
2018-03-04 10:08:13,842 |main                 |LifecycleBase                 |F| Setting state for [Realm[LockOutRealm]] to [STARTING_PREP]
2018-03-04 10:08:13,843 |main                 |LifecycleBase                 |F| Setting state for [Realm[UserDatabaseRealm]] to [INITIALIZING]
2018-03-04 10:08:13,843 |main                 |LifecycleBase                 |F| Setting state for [Realm[UserDatabaseRealm]] to [INITIALIZED]
2018-03-04 10:08:13,843 |main                 |LifecycleBase                 |F| Setting state for [Realm[UserDatabaseRealm]] to [STARTING_PREP]
2018-03-04 10:08:13,844 |main                 |LifecycleBase                 |F| Setting state for [Realm[UserDatabaseRealm]] to [STARTING]
2018-03-04 10:08:13,844 |main                 |LifecycleBase                 |F| Setting state for [Realm[UserDatabaseRealm]] to [STARTED]
2018-03-04 10:08:13,844 |main                 |LifecycleBase                 |F| Setting state for [Realm[LockOutRealm]] to [STARTING]
2018-03-04 10:08:13,845 |main                 |LifecycleBase                 |F| Setting state for [Realm[LockOutRealm]] to [STARTED]
2018-03-04 10:08:13,847 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost]] to [INITIALIZING]
2018-03-04 10:08:13,847 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost]] to [INITIALIZED]
2018-03-04 10:08:13,847 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost]] to [STARTING_PREP]
2018-03-04 10:08:13,849 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost]]] to [INITIALIZING]
2018-03-04 10:08:13,849 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost]]] to [INITIALIZED]
2018-03-04 10:08:13,849 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost]]] to [STARTING_PREP]
2018-03-04 10:08:13,849 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [INITIALIZING]
2018-03-04 10:08:13,850 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [INITIALIZED]
2018-03-04 10:08:13,850 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STARTING_PREP]
2018-03-04 10:08:13,850 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STARTING]
2018-03-04 10:08:13,850 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STARTED]
2018-03-04 10:08:13,851 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [INITIALIZING]
2018-03-04 10:08:13,851 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [INITIALIZED]
2018-03-04 10:08:13,851 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [STARTING_PREP]
2018-03-04 10:08:13,851 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [STARTING]
2018-03-04 10:08:13,851 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [STARTED]
2018-03-04 10:08:13,851 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardHostValve[localhost]] to [INITIALIZING]
2018-03-04 10:08:13,851 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardHostValve[localhost]] to [INITIALIZED]
2018-03-04 10:08:13,851 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardHostValve[localhost]] to [STARTING_PREP]
2018-03-04 10:08:13,851 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardHostValve[localhost]] to [STARTING]
