2018-03-01 20:41:16,050 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[jsp]] to [STOPPING]
2018-03-01 20:41:16,050 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[jsp]]] to [STOPPING_PREP]
2018-03-01 20:41:16,050 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[jsp]]] to [STOPPING]
2018-03-01 20:41:16,052 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[jsp]] to [STOPPING_PREP]
2018-03-01 20:41:16,052 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[jsp]] to [STOPPING]
2018-03-01 20:41:16,054 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[jsp]] to [STOPPED]
2018-03-01 20:41:16,054 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[jsp]]] to [STOPPED]
2018-03-01 20:41:16,054 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[jsp]] to [STOPPED]
2018-03-01 20:41:16,077 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.session.StandardManager[]] to [STOPPING_PREP]
2018-03-01 20:41:16,078 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.session.StandardManager[]] to [STOPPING]
2018-03-01 20:41:16,080 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.util.StandardSessionIdGenerator@5cd572f3] to [STOPPING_PREP]
2018-03-01 20:41:16,080 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.util.StandardSessionIdGenerator@5cd572f3] to [STOPPING]
2018-03-01 20:41:16,080 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.util.StandardSessionIdGenerator@5cd572f3] to [STOPPED]
2018-03-01 20:41:16,080 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.session.StandardManager[]] to [STOPPED]
2018-03-01 20:41:16,110 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@7ea330a] to [STOPPING_PREP]
2018-03-01 20:41:16,110 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@7ea330a] to [STOPPING]
2018-03-01 20:41:16,110 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@7ea330a] to [STOPPED]
2018-03-01 20:41:16,113 |ocalhost-startStop-2 |ContextConfig                 |F| ContextConfig: Processing STOP
2018-03-01 20:41:16,115 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[default]] to [DESTROYING]
2018-03-01 20:41:16,118 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[].StandardWrapper[default]]] to [DESTROYING]
2018-03-01 20:41:16,118 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[Container is null]] to [DESTROYING]
