2018-03-03 22:22:57,865 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [INITIALIZED]
2018-03-03 22:22:57,865 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STARTING_PREP]
2018-03-03 22:22:57,867 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STARTING]
2018-03-03 22:22:57,867 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STARTED]
2018-03-03 22:22:57,868 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [INITIALIZING]
2018-03-03 22:22:57,868 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [INITIALIZED]
2018-03-03 22:22:57,868 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [STARTING_PREP]
2018-03-03 22:22:57,868 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [STARTING]
2018-03-03 22:22:57,868 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.ErrorReportValve[localhost]] to [STARTED]
2018-03-03 22:22:57,868 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardHostValve[localhost]] to [INITIALIZING]
2018-03-03 22:22:57,869 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardHostValve[localhost]] to [INITIALIZED]
2018-03-03 22:22:57,869 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardHostValve[localhost]] to [STARTING_PREP]
2018-03-03 22:22:57,869 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardHostValve[localhost]] to [STARTING]
2018-03-03 22:22:57,869 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardHostValve[localhost]] to [STARTED]
2018-03-03 22:22:57,869 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost]]] to [STARTING]
2018-03-03 22:22:57,869 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost]]] to [STARTED]
2018-03-03 22:22:57,869 |Catalina-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost]] to [STARTING]
2018-03-03 22:22:57,876 |ocalhost-startStop-1 |LifecycleListener             |F| Deploying configuration descriptor /project/tomcat-pro/output/build/conf/Catalina/localhost/test.xml
2018-03-03 22:22:57,920 |ocalhost-startStop-1 |ContainerBase                 |F| Add child StandardContext[/test] StandardEngine[Catalina].StandardHost[localhost]
2018-03-03 22:22:57,920 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/test]] to [INITIALIZING]
2018-03-03 22:22:57,923 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/test]] to [INITIALIZED]
2018-03-03 22:22:57,925 |ocalhost-startStop-1 |ContextConfig                 |F| ContextConfig: Initializing
2018-03-03 22:22:57,925 |ocalhost-startStop-1 |ContextConfig                 |F| Processing context [/test] configuration file [file:/project/tomcat-pro/output/build/conf/context.xml]
2018-03-03 22:22:57,935 |ocalhost-startStop-1 |ContextConfig                 |F| Successfully processed context [/test] configuration file [file:/project/tomcat-pro/output/build/conf/context.xml]
2018-03-03 22:22:57,935 |ocalhost-startStop-1 |ContextConfig                 |F| Processing context [/test] configuration file [file:/project/tomcat-pro/output/build/conf/Catalina/localhost/test.xml]
2018-03-03 22:22:57,974 |ocalhost-startStop-1 |ContextConfig                 |F| Successfully processed context [/test] configuration file [file:/project/tomcat-pro/output/build/conf/Catalina/localhost/test.xml]
2018-03-03 22:22:58,031 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/test]] to [STARTING_PREP]
2018-03-03 22:22:58,031 |ocalhost-startStop-1 |ContainerBase                 |F| Starting test
2018-03-03 22:22:58,031 |ocalhost-startStop-1 |ContainerBase                 |F| Configuring default Resources
2018-03-03 22:22:58,057 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.StandardRoot@b420fbd] to [INITIALIZING]
2018-03-03 22:22:58,062 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.StandardRoot@b420fbd] to [INITIALIZED]
2018-03-03 22:22:58,063 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.StandardRoot@b420fbd] to [STARTING_PREP]
2018-03-03 22:22:58,067 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.DirResourceSet@10376324] to [INITIALIZING]
2018-03-03 22:22:58,071 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.DirResourceSet@10376324] to [INITIALIZED]
2018-03-03 22:22:58,071 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.DirResourceSet@10376324] to [STARTING_PREP]
2018-03-03 22:22:58,071 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.DirResourceSet@10376324] to [STARTING]
2018-03-03 22:22:58,071 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.DirResourceSet@10376324] to [STARTED]
2018-03-03 22:22:58,085 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@35f7399d] to [INITIALIZING]
2018-03-03 22:22:58,088 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@35f7399d] to [INITIALIZED]
2018-03-03 22:22:58,088 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@35f7399d] to [STARTING_PREP]
2018-03-03 22:22:58,088 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@35f7399d] to [STARTING]
2018-03-03 22:22:58,088 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@35f7399d] to [STARTED]
2018-03-03 22:22:58,088 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@750a7fa5] to [INITIALIZING]
2018-03-03 22:22:58,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@750a7fa5] to [INITIALIZED]
2018-03-03 22:22:58,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@750a7fa5] to [STARTING_PREP]
