2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[HostManager]] to [INITIALIZING]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[HostManager]] to [INITIALIZED]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[HostManager]] to [STARTING_PREP]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[HostManager]] to [STARTING]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[HostManager]] to [STARTED]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[/host-manager].StandardWrapper[HostManager]]] to [STARTING]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[/host-manager].StandardWrapper[HostManager]]] to [STARTED]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/host-manager].StandardWrapper[HostManager]] to [STARTING]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/host-manager].StandardWrapper[HostManager]] to [STARTED]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |ContainerBase                 |F| Add child StandardWrapper[HTMLHostManager] StandardEngine[Catalina].StandardHost[localhost].StandardContext[/host-manager]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/host-manager].StandardWrapper[HTMLHostManager]] to [INITIALIZING]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/host-manager].StandardWrapper[HTMLHostManager]] to [INITIALIZED]
2018-01-25 22:12:12,798 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/host-manager].StandardWrapper[HTMLHostManager]] to [STARTING_PREP]
